Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,
"July 1 - September 30, 2021",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,, Total ,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
   ,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"84,943","67,653","11,402","349,350","45,897","86,704","2,225","245,490","13,710","12,186","1,081","127,841","11,898","10,073","1,845","47,747","156,448","176,616","16,553","770,428"
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
, Charleston  , CHS , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Wisconsin ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Milwaukee  , MIL ,448,193,39,"1,756",145,771, D ,418,133, D , D ,789, -   ,18, -   ,20,726,989,48,"2,983"
 Guam ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Agana , AGA ,138,196,13,655,23,44, D ,73, -   , -   , -   , D , D , D , -   , -   ,162,246,18,733
 U.S. Virgin Islands ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charlotte Amalie , CHA ,24,43,11,69, -   ,40, -   ,69, D ,101, -   ,55, -   ,64,27,24,26,248,38,217
, Christiansted  , CHR ,10, -   , -   ,44, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,10, -   , -   ,44
 Puerto Rico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, San Juan  , SAJ ,193,123,19,587,23,202, D ,189, D ,151, D ,52, -   ,201,99,333,222,677,125,"1,161"
 Service Center ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, California , WSC , -   , -   , -   ,143,201,74,25,"5,409", -   , -   , -   ,136,13, -   , -   ,227,214,74,25,"5,915"
, National Benefits Center , NBC , -   , -   , -   , D , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , D 
, Nebraska , NSC ,10,41, -   ,391,"13,584","4,622",123,"83,574", D ,"3,098",134,"3,585","2,620","1,632",142,"10,686","16,215","9,393",399,"98,236"
, Potomac , YSC , -   , -   , -   ,30, -   , -   , -   , D , -   , -   , -   , D , -   , -   , -   ,22, -   , -   , -   ,58
, Texas , SSC , D ,58, D ,285,"12,063","5,968",455,"89,002", D ,"1,325",78,"41,759",144,315, D ,"2,999","12,213","7,666",543,"134,045"
, Vermont , ESC ,"6,029", D ,569,"36,326", D , -   , -   ,184, D ,12, D ,318,"2,088","1,597",221,"15,392","8,126","1,612",793,"52,220"
,,,,,,,,,,,,,,,,,,,,,,
Table Key:,,,,,,,,,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Reference(s):,,,,,,,,,,,,,,,,,,,,,,
"1  Family-based applications for lawful permanent resident (LPR) status are based on a familial relationship with an LPR or a U.S. citizen. Employment-based applications are for purposes of employment or, in the case of entrepreneurs/investor, based on an investment in a new commercial enterprise. Humanitarian-based applications include asylee, refugee, Indo Chinese, and Cuban refugee. ""Others"" includes all other I-485 applications, to include those filed under the Haitian Refugee Immigration Fairness Act (HRIFA) program and the Creation of Record for North American Indians born in Canada based on Section 289 of the Immigration and Nationality Act (INA).
",,,,,,,,,,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,
1) Some petitions/applications approved or denied may have been received in a previous reporting period. ,,,,,,,,,,,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,,
3) Counts may differ from previous quarters due to system updates and post adjudicative outcomes.  ,,,,,,,,,,,,,,,,,,,,,,
"4) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms. ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,,,,,
"Performance Reporting Tool, queried November 2021 TRK #8238.",,,,,,,,,,,,,,,,,,,,,,
