,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
October 1 - December 31, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"82,888","69,630","11,841","376,383","27,893","33,181","1,543","154,616","21,908","33,011","1,614","89,630","9,482","5,096",987,"32,093","142,171","140,918","15,985","652,722",,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA , 261 , 229 , 74 , 774 , 57 , 105 , D , 248 , 29 , 119 , 18 , 120 , 19 , D , D , 35 , 366 , 456 , 97 ," 1,177 ",,,,,,,,,,,,,,,,,,,,,
Nevada,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG , 809 , 745 , 155 ," 4,466 ", 32 , 48 , D , 246 , 111 , 125 , 18 , 784 , D , D , -   , 21 , 958 , 920 , 180 ," 5,517 ",,,,,,,,,,,,,,,,,,,,,
, Reno  , REN , 159 , 210 , 25 , 542 , 16 , 28 , D , 72 , -   , 27 , D , 20 , D , D , -   , D , 176 , 266 , 30 , 637 ,,,,,,,,,,,,,,,,,,,,,
New Hampshire,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Manchester  , MAN , 168 , 149 , D , 356 , 43 , 74 , -   , 180 , D , D , D , D , D , D , -   , D , 214 , 225 , D , 551 ,,,,,,,,,,,,,,,,,,,,,
New Jersey,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL , 727 , 673 , 99 ," 2,970 ", 124 , 170 , 15 , 908 , D , 59 , D , 62 , 12 , D , -   , 34 , 868 , 904 , 119 ," 3,974 ",,,,,,,,,,,,,,,,,,,,,
, Newark  , NEW ," 3,478 "," 2,559 ", 666 ," 14,044 ", 831 ," 1,352 ", 62 ," 5,292 ", 74 , 105 , 13 , 277 , 29 , 15 , D , 188 ," 4,412 "," 4,031 ", 744 ," 19,801 ",,,,,,,,,,,,,,,,,,,,,
New Mexico,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ , 288 , 342 , 33 , 748 , 41 , 64 , D , 163 , 16 , 21 , D , 33 , 19 , D , D , 21 , 364 , 434 , 40 , 965 ,,,,,,,,,,,,,,,,,,,,,
New York,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Albany  , ALB , 163 , 60 , D , 539 , 57 , 122 , D , 311 , D , -   , D , 11 , -   , D , -   , D , 221 , 183 , 19 , 865 ,,,,,,,,,,,,,,,,,,,,,
, Brooklyn , BNY ," 2,016 "," 1,113 ", 262 ," 13,219 ", 156 , 353 , 13 , 931 , D , 84 , 17 , 328 , 76 , 10 , D , 335 ," 2,256 "," 1,560 ", 299 ," 14,813 ",,,,,,,,,,,,,,,,,,,,,
, Buffalo  , BUF , 310 , 215 , 51 , 876 , 132 , 206 , D , 570 , 53 , 83 , D , 146 , D , D , -   , 12 , 498 , 507 , 66 ," 1,604 ",,,,,,,,,,,,,,,,,,,,,
, Long Island , LNY ," 1,423 ", 924 , 281 ," 5,934 ", 134 , 244 , D , 811 , D , 38 , D , 75 , 37 , 15 , 16 , 368 ," 1,597 "," 1,221 ", 311 ," 7,188 ",,,,,,,,,,,,,,,,,,,,,
, New York  , NYC ," 2,891 "," 1,532 ", 558 ," 21,654 ", 480 ," 1,127 ", 95 ," 3,266 ", D , 49 , 18 , 536 , 120 , 25 , 14 , 773 ," 3,500 "," 2,733 ", 685 ," 26,229 ",,,,,,,,,,,,,,,,,,,,,
, Queens , QNS ," 2,490 "," 3,077 ", 416 ," 11,821 ", 174 , 470 , 29 , 898 , D , 150 , 25 , 406 , 87 , D , D , 530 ," 2,754 "," 3,704 ", 478 ," 13,655 ",,,,,,,,,,,,,,,,,,,,,
North Carolina,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Charlotte  , CLT , 751 , 766 , 100 ," 2,206 ", 124 , 210 , D , 802 , 29 , 142 , D , 194 , 16 , D , -   , 43 , 920 ," 1,122 ", 111 ," 3,245 ",,,,,,,,,,,,,,,,,,,,,
, Raleigh , RAL , 744 , 502 , 48 ," 2,172 ", 190 , 318 , D ," 1,104 ", 19 , 171 , D , 108 , 11 , D , -   , 35 , 964 , 995 , 56 ," 3,419 ",,,,,,,,,,,,,,,,,,,,,
Ohio,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,
, Cincinnati  , CIN , 293 , 229 , 36 , 752 , 83 , 166 , D , 532 , 11 , D , D , 30 , D , D , -   , 19 , 389 , 402 , 41 ," 1,333 ",,,,,,,,,,,,,,,,,,,,,
