Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,,
"January 1, 2023 - March 31, 2023",,,,,,,,,,,,,,,,,,,,,,
,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,
,,,Family-based1,,,, Employment-based received at service center2,,,,Humanitarian-based3,,,,Others4,,,, Total ,,,
 USCIS Field Office or Service Center Location ,,,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8
 Total ,,,"95,800","97,768","6,537","489,835","34,584","33,932","3,528","202,006","34,705","20,115","1,456","113,922","9,879","7,682",668,"46,165","174,968","159,497","12,189","851,928"
, Newark  , NEW ,"2,475","2,757",284,"14,980",447,742,107,"5,873",419,333,34,"1,795",38,27, D ,173,"3,379","3,859",431,"22,821"
, New Jersey Central , NJC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 New Mexico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Albuquerque  , ABQ ,321,"1,003", D ,"1,846",58,212,12,"1,147",29,64, -   ,431,19, -   , -   ,28,427,"1,279",13,"3,452"
 New York ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Albany  , ALB ,374,300,30,"1,604",88,153, D ,660,93,32, D ,405,10, D , D ,45,565,493,43,"2,714"
, Brooklyn , BNY ,"2,030","1,647",228,"11,006",284,430,68,"1,183",564,129, D ,"2,297",20,15, D ,147,"2,898","2,221",307,"14,633"
, Buffalo  , BUF ,302,682,25,"1,697",184,394,27,850,349,290, D ,"1,886",83,56, D ,238,918,"1,422",64,"4,671"
, Long Island , LNY ,"1,341","1,367",107,"6,369",243,578,55,"1,778",205,168,11,865, D , D , D ,42,"1,797","2,118",178,"9,054"
, New York  , NYC ,582,334,20,"13,429",177,138, D ,"2,890",205,69, D ,"2,082",55, D , -   ,280,"1,019",550,30,"18,681"
, Queens , QNS ,310,442,21,"10,961",33,198, D ,"1,322",23,49, D ,"2,794",20, D , -   ,194,386,694,39,"15,271"
 North Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charlotte  , CLT ,934,"1,260",63,"5,214",202,93,19,"1,637",209,64,10,756,28,46, D ,87,"1,373","1,463",96,"7,694"
, Raleigh , RAL ,"2,235","1,855",297,"4,478",243,426,32,"1,944",726,336,38,605,44, D ,13,249,"3,248","2,624",380,"7,276"
 Ohio ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Cincinnati  , CIN ,332,549,25,"1,658",81,319,17,"1,057",137,77, D ,681,34, -   , D ,50,584,945,47,"3,446"
, Cleveland  , CLE ,409,919,43,"2,012",175,387,26,"1,088",135,230, D ,669,34,44, D ,94,753,"1,580",76,"3,863"
, Columbus , CLM ,416,729,34,"2,088",103,329,22,"1,307",187,120, D ,932,47,38, D ,135,753,"1,216",70,"4,462"
 Oklahoma ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Oklahoma City  , OKC ,488,346,44,"3,356",36,168, D ,504,"1,249",113,27,411, D , D , -   ,442,"1,779",630,80,"4,713"
 Oregon ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Portland  , POO ,106,132, D ,"3,902",19,75, D ,"2,536",54,23, D ,829,20,10, D ,157,199,240,16,"7,424"
 Pennsylvania ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Philadelphia , PHI ,"1,834","1,594",176,"8,116",372,376,56,"2,871",612,250,22,"2,037", D ,11, D ,292,"2,824","2,231",255,"13,316"
, Pittsburgh  , PIT ,"1,307","2,720",59,"1,568",224,224, D ,"1,036",467,16, D ,497,50,12, D ,123,"2,048","2,972",71,"3,224"
 Rhode Island ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Providence  , PRO ,758,932,24,"1,624",207,346,18,499,128,133,11,247,32,25, D ,50,"1,125","1,436",55,"2,420"
 South Carolina ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charleston  , CHL ,421,166,25,"2,509",62,60,10,752,46,60, D ,155,14, D , -   ,37,543,287,37,"3,453"
, Greer , GRR ,278,614,22,"1,353",57,294,11,411,68,15, -   ,146,17,22, -   ,16,420,945,33,"1,926"
 Tennessee ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Memphis  , MEM ,278,"1,322",39,"2,439",138,512,84,"2,003",46,196,20,758,10, D , -   ,44,472,"2,031",143,"5,244"
, Nashville , NTN ,"9,647", -   , D ,"3,509","7,093",987,626,"1,102", D ,414,136,903,"4,507","2,730",175,175,"21,255","4,131",942,"5,689"
 Texas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Dallas  , DAL ,"3,810","2,484",174,"17,949",728,315,55,"7,186",603,227, D ,"2,311",237, D , D ,811,"5,378","3,033",240,"28,257"
, El Paso  , ELP ,890,"1,507",58,"4,422",37,524, D ,"1,000",209,67, D ,353, D , -   , -   , D ,"1,137","2,098",63,"5,782"
, Harlingen  , HLG ,870,"1,808",24,"5,185",29,473,10,962,16,10, D ,84, D , -   , -   , D ,916,"2,291",38,"6,240"
, Houston  , HOU ,"3,435","3,451",193,"19,089",759,252,44,"3,697","1,406","1,010",113,"3,264",406,203,11,"1,006","6,006","4,916",361,"27,056"
, San Antonio  , SNA ,882,69,33,"9,904",151,32, D ,"3,982",160,129,16,"1,428",71,40, D ,953,"1,264",270,56,"16,267"
 Utah ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Salt Lake City  , SLC ,"1,293","1,614",130,"3,303",182,"1,007",133,672,134,137,10,745,10,25, D ,203,"1,619","2,783",278,"4,923"
 Vermont ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, St. Albans  , STA , D , D , D ,337,"6,497",374,276,321, D ,115,70,175,13,11, D ,34,"6,520",505,351,867
 Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Norfolk  , NOR ,371,204,14,"3,416",146,75,11,"1,089",112,89, D ,529, D , D , D ,467,633,372,29,"5,501"
 Washington ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Seattle  , SEA ,"1,630","1,767",105,"7,124",115,878,69,"5,469",235,439, D ,"1,509",28, D ,11,541,"2,008","3,093",194,"14,643"
, Spokane  , SPO ,864,355,54,515,260,237,27,251,357,66,13,275,103,57, D ,48,"1,584",715,97,"1,089"
, Yakima , YAK , D , D , -   ,"1,057","1,186",389,71,394, -   , -   , D ,142, -   , -   , -   , D ,"1,187",390,72,"1,598"
 West Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charleston  , CHS , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,   , -   , -   , -   , -   , -   , -   , -   , -   
 Wisconsin ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Milwaukee  , MIL ,484,605,30,"2,578",151,41, D ,800,144,17, -   ,653,48, D , -   ,138,827,665,35,"4,169"
 Guam ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Agana , AGA ,136,202, D ,553,33,125,13,198, -   ,66, D ,42, -   , -   , -   , D ,169,393,21,794
 U.S. Virgin Islands ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charlotte Amalie , CHA ,16,173,15,439, -   ,137, D ,112, D ,157, D ,176, -   , -   , D , -   ,17,467,23,727
, Christiansted  , CHR , D , -   , -   ,25, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , D , -   , -   ,25
 Puerto Rico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, San Juan  , SAJ ,"1,015","1,524",109,"1,142",134,410,40,212,584,109,18,284,509,154,11, D ,"2,242","2,197",178,"1,644"
 Service Center ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, California , WSC ,999,"1,092",72,82,153,365,37,"2,248",799,363,26, D , D , D ,10, D ,"1,960","1,827",145,"2,347"
, National Benefits Center , NBC , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,   , -   , -   , -   , -   , -   , -   , -   , -   
, Nebraska , NSC ,504,299,30,"2,484",138,76, D ,"16,923",110,26, D ,950,42,24, -   ,"11,426",794,425,42,"31,783"
, Potomac , YSC ,243,304,10,25,28,112, D ,12,19, D , -   ,14, D , -   , -   , D ,293,421,11,57
, Texas , SSC ,108,200,19,58,45,105, D ,"24,232",41,38, D ,900,28,17, D ,48,222,360,24,"25,238"
, Vermont , ESC ,"1,328", D ,675,"62,755", -   , -   , D ,256, -   , D , D ,244,414,"2,189",267,"17,984","1,742","2,200",947,"81,239"
Table Key:,,,,,,,,,,,,,,,,,,,,,,
D  Disclosure standards not met,,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,,
1 Family-based applications for lawful permanent resident (LPR) status are based on a familial relationship with an LPR or a U.S. citizen.  ,,,,,,,,,,,,,,,,,,,,,,
"2 Employment-based applications are for purposes of employment or, in the case of entrepreneurs/investor, based on an investment in a new commercial enterprise.",,,,,,,,,,,,,,,,,,,,,,
"3 Humanitarian-based applications include asylee, refugee, Indo Chinese, and Cuban refugee.",,,,,,,,,,,,,,,,,,,,,,
