Number of Form N-400 Application for Naturalization,,,,,,,,,,,,,,
"By Category of Naturalization, Case Status, and USCIS Field Office Location",,,,,,,,,,,,,,
"January 1, 2023 - March 31, 2023",,,,,,,,,,,,,,
,,,           Applications by Category and Case Status ,,,,,,,,,,,
,,,               Naturalization1,,,,   Naturalization (Military)1,,,,                    Total ,,,
 USCIS Field Office Location ,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5
 TOTAL ,,,"217,159","214,040","27,065","452,018","3,323","2,987",396,"6,858","220,482","217,027","27,461","458,876"
Field Office by State6,, Field Office Code ,,,,,,,,,,,,
, Nashville , NTN ,"1,494","1,359",177,"4,955",21,13, D ,109,"1,515","1,372",179,"5,064"
 Texas ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Dallas  , DAL ,"7,730","9,861","1,063","12,818",72,59, D ,117,"7,802","9,920","1,069","12,935"
, El Paso  , ELP ,"1,387","1,362",121,"2,021",46,134, D ,115,"1,433","1,496",124,"2,136"
, Harlingen  , HLG ,904,891,115,"1,305", D , D , D , D ,907,893,116,"1,314"
, Houston  , HOU ,"8,293","8,949",910,"13,631",56,33, D ,129,"8,349","8,982",919,"13,760"
, San Antonio  , SNA ,"4,181","3,817",338,"10,243",226,132,14,502,"4,407","3,949",352,"10,745"
 Utah ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Salt Lake City  , SLC ,"1,428","1,934",267,"3,465",15, D , -   ,32,"1,443","1,940",267,"3,497"
 Vermont ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, St. Albans  , STA ,186,220,11,405, D , D , -   , D ,190,223,11,410
 Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Norfolk  , NOR ,"1,410",802,83,"4,946",305,185,40,701,"1,715",987,123,"5,647"
 Washington ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Seattle  , SEA ,"4,992","4,372",360,"9,461",45,66,25,267,"5,037","4,438",385,"9,728"
, Spokane  , SPO ,228,204,36,403, D , D , -   , D ,231,205,36,412
, Yakima , YAK ,421,368,39,813, -   , -   , -   , D ,421,368,39,818
 West Virginia ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charleston  , CHS , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Wisconsin ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Milwaukee  , MIL ,"1,239",909,114,"2,495", D , D , D ,17,"1,241",912,115,"2,512"
Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
 Guam ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Agana , AGA ,194,266,22,384, D ,136,20,62,197,402,42,446
 U.S. Virgin Islands ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, Charlotte Amalie , CHA ,41,122,36,145, -   , -   , -   , D ,41,122,36,150
, Christiansted  , CHR ,25, -   , D ,29, -   , -   , -   , D ,25, -   , D ,30
 Puerto Rico ,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   
, San Juan  , SAJ ,358,298,93,572, D , D , -   , D ,366,299,93,577
Table Key:,,,,,,,,,,,,,,
D  Disclosure standards not met.,,,,,,,,,,,,,,
'- Represents zero,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,
"1 ""Military Naturalization"" refer to applicants whose eligibility relies on service in the U.S. armed forces. All other Form N-400 naturalizations, are included in ""Naturalization."" Total includes both general and military naturalization.",,,,,,,,,,,,,,
2 The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
3 The number of applications approved during the reporting period.,,,,,,,,,,,,,,
4 The number of applications denied during the reporting period.,,,,,,,,,,,,,,
5 The number of applications awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; ,,,,,,,,,,,,,,
   thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,,
6 Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,,
2) The report reflects the most up-to-date data available at the time the database is queried.,,,,,,,,,,,,,,
3) These counts do not include international offices.,,,,,,,,,,,,,,
"4) Many USCIS international offices have permanently closed in the last two years; for a list of those offices, please see https://www.uscis.gov/about-us/uscis-office-closings",,,,,,,,,,,,,,
5) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,,
"6) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,
"PASEXEC, queried 05/2023, TRK 11854",,,,,,,,,,,,,,
