Number of I-485 Applications to Register Permanent Residence or Adjust Status,,,,,,,,,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location",,,,,,,,,,,,,,,,,,,,,
"July 1, 2023 - September 30, 2023",,,,,,,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Applications by Category of Admission and Case Status,,,,,,,,,,,,,,,,Total,,,
,,Family-based1,,,,Employment-based received at service center2,,,,Humanitarian-based3,,,,Others4,,,,,,,
Field Office by State9,Field Office Code,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6,Denied7,Pending8,Applications Received5,Approved6, Denied7, Pending8
Rhode Island,,,,,,,,,,,,,,,,,,,,,
Providence ,PRO,306,321,35,"1,117",38,170,18,318,47,179, - ,347,29,14, - ,73,420,684,53,"1,855"
South Carolina,,,,,,,,,,,,,,,,,,,,,
Charleston ,CHL,511,365,47,"2,562",57,92,14,627,97,31, D ,228,20, - , D ,71,685,488,67,"3,488"
Greer,GRR,318,786,34,"1,320",33,337,18,594,82,14, D ,256, D , D , D , D ,437,"1,138",57,"2,176"
Tennessee,,,,,,,,,,,,,,,,,,,,,
Memphis ,MEM,364,481,45,"2,325",60,617,39,"1,590",112,26, D ,315,11, - , D ,61,547,"1,124",88,"4,291"
Nashville,NTN,658,793,57,"3,243",99,105,12,"1,028",456,48, D ,"1,281",46, D , D ,251,"1,259",953,82,"5,803"
Texas,,,,,,,,,,,,,,,,,,,,,
Dallas ,DAL,"4,204","3,837",283,"17,523",464,402,61,"8,226","1,504",190,17,"3,539",203,242, D ,693,"6,375","4,671",368,"29,981"
El Paso ,ELP,984,"1,357",67,"3,607",24,497,12,636,"1,194",185, D ,"2,102", - , - , D ,16,"2,202","2,039",86,"6,361"
Harlingen ,HLG,865,"1,451",75,"3,399",15,87, D ,141,50,14, D ,122, D , D , - ,13,932,"1,554",83,"3,675"
Houston ,HOU,"4,002","3,708",371,"17,516",408,365,91,"3,935","4,763","1,709",376,"8,543",279,132,24,"1,089","9,452","5,914",862,"31,083"
San Antonio ,SNA,"2,264","1,406",92,"8,870",295,492,50,"3,993","2,152",108,19,"4,178",410,74, D ,"1,712","5,121","2,080",169,"18,753"
Utah,,,,,,,,,,,,,,,,,,,,,
Salt Lake City ,SLC,"1,004",130,55,"4,430",60,50,16,756,322,31, D ,913,42,33, D ,233,"1,428",244,84,"6,332"
Vermont,,,,,,,,,,,,,,,,,,,,,
St. Albans ,STA,73,220,14,248, D ,174,12,121,18,81,13,400,26, D , - ,56,123,484,39,825
Virginia,,,,,,,,,,,,,,,,,,,,,
Norfolk ,NOR,590,218,67,"3,647",82,54,14,"1,167",294, D , D ,715,35,11, D ,448,"1,001",288,84,"5,977"
Washington,,,,,,,,,,,,,,,,,,,,,
Seattle ,SEA,"1,640","1,620",129,"6,649",776,488,54,"5,723",440, D , D ,"1,502",100,121,23,492,"2,956","2,237",212,"14,366"
Spokane ,SPO,81,120,16,491, D ,132, D ,107,64,508,20,333,33,19, - ,42,184,779,42,973
Yakima,YAK,212,472,33,799,10,66,13,75,48,31, D ,146,12, D , - ,25,282,570,47,"1,045"
West Virginia,,,,,,,,,,,,,,,,,,,,,
Charleston ,CHS, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Wisconsin,,,,,,,,,,,,,,,,,,,,,
Milwaukee ,MIL,472,317,19,"2,567",55,57, D ,821,262,14, D ,667,62,28, D ,212,851,416,27,"4,267"
Guam,,,,,,,,,,,,,,,,,,,,,
Agana,AGA,143,127,13,500,11,69, D ,128, D ,91, D ,29, D , - , - , D ,158,287,19,660
U.S. Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Charlotte Amalie,CHA,24,128,20,166, - ,223,11,57, D ,206, D ,263, D , - , - , D ,27,557,39,487
Christiansted ,CHR,16, - , - ,41, - , - , - , D , - , - , - , - , D , - , - , D ,17, - , - ,44
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
San Juan ,SAJ,208,128,16,"1,031", D ,96,19,179,31,152, D ,277, - , - , - , D ,245,376,36,"1,492"
Service Center,,,,,,,,,,,,,,,,,,,,,
 California , WSC , D , - , - ,58,"1,034",154,29,"1,919", - , - , - , D , - , - , - , D ,"1,036",154,29,"1,993"
 National Benefits Center , NBC , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 Nebraska , NSC ,"19,167", - , D ,"7,629","2,572",31,403,"13,126",10,75,29,374,"4,626","3,375",172,"8,028","26,375","3,481",605,"29,157"
 Potomac , YSC , - , - , - ,15, - , - , - , D , - , - , - ,14, - , - , - , D , - , - , - ,43
 Texas , SSC , D , D , - ,55,"2,950",23,968,"19,802", - ,17,12,985, D , D , D ,40,"2,955",55,981,"20,882"
 Vermont , ESC , D , D ,536,"84,013", D , - , D ,327, - , D , D ,309,11,"2,223",407,"18,426",19,"2,232",948,"103,075"
Table Key:,,,,,,,,,,,,,,,,,,,,,
D  Disclosure standards not met,,,,,,,,,,,,,,,,,,,,,
- Represents zero or rounds to 0.0,,,,,,,,,,,,,,,,,,,,,
References:,,,,,,,,,,,,,,,,,,,,,
1 Family-based applications for lawful permanent resident (LPR) status are based on a familial relationship with an LPR or a U.S. citizen.  ,,,,,,,,,,,,,,,,,,,,,
"2 Employment-based applications are for purposes of employment or, in the case of entrepreneurs/investor, based on an investment in a new commercial enterprise.",,,,,,,,,,,,,,,,,,,,,
"3 Humanitarian-based applications include asylee, refugee, Indo Chinese, and Cuban refugee.",,,,,,,,,,,,,,,,,,,,,
"4 Others includes all other I-485 applications, to include those filed under the Haitian Refugee Immigration Fairness Act (HRIFA) program and the Creation of Record for North American Indians born in Canada based on Section 289 of the Immigration and Nationality Act (INA).",,,,,,,,,,,,,,,,,,,,,
5 The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,,,,,,,
6 The number of applications approved during the reporting period.,,,,,,,,,,,,,,,,,,,,,
7 The number of applications denied during the reporting period.,,,,,,,,,,,,,,,,,,,,,
8  The number of applications awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices; thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,,,,,,,,,
9 Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,
"1) Some applications approved, denied, or pending a decision may have been received in previous reporting periods.",,,,,,,,,,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.  ,,,,,,,,,,,,,,,,,,,,,
"4) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,,,,,,,,,
"NPD, queried 10/2023, TRK 13213",,,,,,,,,,,,,,,,,,,,,
