,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
January 1 - March 31, 2018  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"78,947","68,869","10,410","344,976","30,908","28,336","2,593","162,675","47,211","48,497","1,299","138,599","6,946","6,306","1,062","36,369","164,012","152,008","15,364","682,619",,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, St. Paul  , SPM ,854 ,"1,064 ",80 ,"4,810 ",-,54 ,D,880 ,101 ,47 ,11 ,399 ,10 ,16 ,D,131 ,965 ,"1,181 ",94 ,"6,220 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Missouri ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Kansas City  , KAN ,475 ,463 ,49 ,"1,242 ",-,85 ,D,225 ,41 ,147 ,D,97 ,D,D,D,24 ,521 ,700 ,66 ,"1,588 ",,,,,,,,,,,,,,,,,,,,,,,,,
, St. Louis  , STL ,240 ,268 ,21 ,"1,192 ",-,67 ,-,312 ,12 ,D,D,76 ,D,D,-,17 ,254 ,345 ,22 ,"1,597 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Montana ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Helena  , HEL ,48 ,118 ,D,307 ,-,D,-,34 ,-,11 ,-,13 ,-,-,-,D,48 ,134 ,D,355 ,,,,,,,,,,,,,,,,,,,,,,,,,
 Nebraska ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Omaha  , OMA ,225 ,355 ,63 ,687 ,-,39 ,D,156 ,197 ,777 ,46 ,352 ,D,D,D,28 ,428 ,"1,175 ",111 ,"1,223 ",,,,,,,,,,,,,,,,,,,,,,,,,
 Nevada ,,, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
, Las Vegas  , LVG ,907 ,561 ,98 ,"3,970 ",D,24 ,D,113 ,419 ,100 ,D,"1,346 ",D,33 ,D,30 ,"1,331 ",718 ,113 ,"5,459 ",,,,,,,,,,,,,,,,,,,,,,,,,
